Review,Sentiment
I love this phone,Positive
Excellent product,Positive
Very good quality,Positive
Amazing service,Positive
Worst product ever,Negative
Very bad experience,Negative
I hate this item,Negative
Delivery was late,Negative
The product is okay,Positive
Average quality,Negative
Fantastic mobile,Positive
Not worth the money,Negative
Superb performance,Positive
Terrible battery life,Negative
Good value for money,Positive
Today is Monday,Neutral
The meeting starts at 10 AM,Neutral
This is a table,Neutral
